technique,origin_field,original_problem,key_idea,financial_representation,required_data,proposed_experiment,expected_advantage,failure_modes,existing_financial_use,novelty,tier,proposed_run
network_centrality_percolation,network_science,Epidemics/infrastructure fragility,Cascade thresholds on graphs,Contagion-aware position limits; crowding maps from holdings/correlation graphs,13F + correlation graphs,Centrality-based crowding score vs leadership guard,Better crowding measure than ETF leadership,Absorption-ratio lesson: double-counting stress,established academically,low-med,4,Run 39
random_matrix_theory,statistical_mechanics,Nuclear spectra noise separation,Eigenvalue bounds separate signal from noise,Covariance denoising (Marchenko-Pastur clipping) for allocation,panel returns,RMT-cleaned covariance vs Ledoit-Wolf in sleeve allocator,Better risk model on wide universes,Marginal over shrinkage,established,low,3,Run 44
ising_spin_glass_crowding,statistical_mechanics,Phase transitions in magnets,Interaction-driven collective states,Herding/phase-transition indicators from breadth co-movement,breadth panel,Ising-susceptibility indicator vs breadth z-scores; null-controlled,Early warning of one-sided markets,Analogy without mechanism; overfit,econophysics literature,high,5,Run 41
koopman_dmd,dynamical_systems,Fluid dynamics modal analysis,Linear operator on observables of nonlinear system,Dominant market modes; regime-transition eigenvalues,panel returns,DMD mode-shift detector vs jump model for transitions,Model-free transition detection,Noise swamps modes at weekly scale,thin finance lit,high,5,Run 40
early_warning_critical_slowing,dynamical_systems,Ecosystem collapse prediction,Rising autocorrelation/variance near bifurcation,Pre-crash slowing indicators on index/vol series,daily prices,CSD indicators vs VIX-based stress on crash prediction; strict nulls,Complementary crash timing,High false-positive rate documented,moderate literature,med,5,Run 40
double_ml_causal_forests,causal_inference,Treatment effects in economics,Orthogonalized nuisance estimation,Does signal X cause returns after controlling factor exposures; heterogeneous signal effects by regime,panel + factors,DML screen: signals surviving orthogonalization vs raw IC screens,Fewer false discoveries; regime-robust signals,Unmeasured confounding; weak instruments,growing,med,3,Run 40
invariant_causal_prediction,causal_inference,Genes stable across environments,Keep predictors stable across environments,Signals with stable coefficients across regimes/decades survive,panel by regime,ICP screen on factor zoo; compare OOS survival of invariant vs non-invariant signals,Directly targets the decay problem,Few environments; power,rare in finance,high,4,Run 40
mean_field_games,game_theory,Crowd dynamics,Equilibrium of many interacting agents,Crowding equilibria in factor strategies; price impact of common signals,positioning proxies,Qualitative crowding stress scenarios; not tradable alpha,Understand decay/crowding structurally,Untestable parameters,academic,med,5,Run 41
evolutionary_algorithms_strategy_search,biology,Optimization by selection,Population search over strategy space,Guarded strategy discovery with fitness = deflated OOS metrics,any,GA over feature/rule space with pre-registered FDR control and trial counting,Explores space human misses,Overfit factory without governance,common in retail quant (badly),low,5,Run 34
distributionally_robust_optimization,operations_research,Inventory under demand uncertainty,Optimize vs worst distribution in ambiguity ball,Portfolio robust to return-distribution misspecification,return estimates,DRO (Wasserstein ball) vs mean-variance vs HRP on sleeve mix,Less estimation-error fragility,Over-conservatism,active literature,med,4,Run 38
optimal_stopping,operations_research,Secretary/exercise problems,Stop-time policies under uncertainty,Exit rules for trades (profit-taking/stop placement); option exercise,trade paths,Optimal-stopping exits vs fixed stops on trend trades,Principled exits,Model dependence,established in options,low-med,3,Run 45
queueing_theory_execution,operations_research,Service systems,Queue position value,Limit-order fill modeling for cost estimates,L2 data,Fill-probability model for cost-aware backtests,Realistic cost modeling,Needs microstructure data,established,med,4,Run 46
anomaly_detection_cybersecurity,other_frontier,Intrusion detection,Detect distribution shift fast,Live strategy-degradation alarms (return distribution shift),live returns,Drift detectors on paper-trading streams,Faster kill-switch decisions,False alarms,transferable directly,low,3,Run 47
epidemiological_contagion,other_frontier,Disease spread,SIR dynamics on networks,Sentiment/vol contagion across sectors,sector returns + news,SIR-fit contagion speed as regime feature; null-controlled,Novel regime feature,Analogy overreach,thin,high,5,Run 41
scientific_ml_uq,other_frontier,Surrogate models + uncertainty,Physics-informed constraints; calibrated UQ,No-arbitrage-constrained vol surface models; calibrated forecast intervals,options data,Arbitrage-free surface interpolation for options runs,Cleaner options signals,Complexity,growing,med,4,Run 13
