query_id,date,tool,query,domain,purpose,key_finding
Q18,2026-07-21,WebSearch,meta-labeling triple barrier Lopez de Prado evidence 2024 practical results deflated Sharpe ratio,validation,Meta-labeling evidence,Modest practical improvements; DSR standard for multiple-testing correction
Q19,2026-07-21,WebSearch,Polygon.io Databento intraday minute bar historical equities data pricing 2026 retail,data,Intraday data cost,Polygon $199/mo flat; Databento ~$125/mo metered; both retail-feasible
Q20,2026-07-21,WebSearch,volatility targeting leverage evidence improves returns Moreira Muir critique out-of-sample 2024,sizing,Vol-managed OOS truth,Real-time implementations often fail OOS (Cederburg et al.); multifactor version survives ex-costs; matches internal Frontier-2 result
Q21,2026-07-21,WebSearch,path signatures rough paths machine learning finance applications evidence 2024 2025,math_transfer,Signature methods status,Active 2024-25 finance literature (sig-vol models; sig-kernels; neural RDE portfolios); feature-encoding use credible
Q22,2026-07-21,WebSearch,index addition deletion rebalance front running strategy profitability decline 2024,event,Index effect status,Disappearing index effect; returns migrated pre-announcement to sophisticated players
Q23,2026-07-21,WebSearch,merger arbitrage returns 2024 2025 spreads retail feasibility annualized,event,Merger arb status,HFRI merger arb +8.2% through Q3-2025; ~500bps over cash median spread; regulatory speed the driver
Q24,2026-07-21,WebSearch,alternative data retail quant free datasets Quiver Quantitative SEC EDGAR earnings transcripts insider trading signal evidence,alt_data,Retail alt-data inventory,EDGAR free (Form 4/13F/filings); Quiver $25-75/mo convenience tier; congress trades 45d lag
Q25,2026-07-21,WebSearch,end-to-end portfolio optimization differentiable decision-focused learning finance evidence 2024 2025,decision_aware,DFL evidence,Active 2024-25 field; E2E beats two-stage on decision metrics; SPO-induced turnover inflation documented caveat
Q26,2026-07-21,WebSearch,QuantConnect LEAN backtesting platform live trading retail systematic 2026 alternatives comparison,infrastructure,Backtest infra options,LEAN open-source + cloud live execution; free minute data US equities/futures/options; local deployment possible
Q27,2026-07-21,WebSearch,leveraged ETF long-term returns volatility decay 2x SPY evidence buy and hold,leverage,Leverage vehicle choice,Daily-reset decay well documented; futures/portfolio margin preferred vehicles for calibrated leverage
Q28,2026-07-21,WebSearch,tail risk hedging cost drag put protection evidence Universa debate long volatility performance,options_vol,Tail hedge economics,1.5-2.5%/yr drag naive; AQR-vs-Universa unresolved; convex payoff enables aggressive core - test as architecture
R01,2026-07-21,repo,docs/research full listing + 20 key reports read,internal,Part I audit,Complete phase history reconstructed (see existing_research_registry.csv)
R02,2026-07-21,repo,scripts/production_config.py + wrapper + gate definitions,internal,Constraint audit,Constraint surface mapped (see defensive_constraint_audit.csv)
R03,2026-07-21,repo,project_journey.md TOC + macro/moonshot/confirm sections,internal,Verdict extraction,All verdicts and stop rules captured
